Time [ns]	X (Q6.10)	X (Decimal)	Y (Q6.10)	Y (Decimal)
109035	 4189	4.090820	  767	0.749023
109265	 4145	4.047852	  998	0.974609
109495	 4089	3.993164	 1224	1.195312
109725	 4022	3.927734	 1442	1.408203
109955	 3944	3.851562	 1651	1.612305
110185	 3856	3.765625	 1849	1.805664
110415	 3759	3.670898	 2036	1.988281
110645	 3653	3.567383	 2213	2.161133
110875	 3538	3.455078	 2381	2.325195
111105	 3415	3.334961	 2541	2.481445
111335	 3284	3.207031	 2695	2.631836
111565	 3145	3.071289	 2844	2.777344
111795	 2999	2.928711	 2989	2.918945
112025	 2846	2.779297	 3131	3.057617
112255	 2686	2.623047	 3270	3.193359
112485	 2519	2.459961	 3407	3.327148
112715	 2345	2.290039	 3541	3.458008
112945	 2165	2.114258	 3672	3.585938
113175	 1978	1.931641	 3799	3.709961
113405	 1785	1.743164	 3920	3.828125
113635	 1586	1.548828	 4035	3.940430
113865	 1382	1.349609	 4141	4.043945
114095	 1173	1.145508	 4238	4.138672
114325	  959	0.936523	 4324	4.222656
114555	  741	0.723633	 4398	4.294922
114785	  520	0.507812	 4459	4.354492
115015	  296	0.289062	 4506	4.400391
115245	   70	0.068359	 4539	4.432617
115475	65379	-0.153320	 4557	4.450195
115705	65151	-0.375977	 4561	4.454102
115935	64923	-0.598633	 4550	4.443359
116165	64696	-0.820312	 4525	4.418945
116395	64471	-1.040039	 4486	4.380859
116625	64248	-1.257812	 4434	4.330078
116855	64028	-1.472656	 4370	4.267578
117085	63812	-1.683594	 4294	4.193359
117315	63600	-1.890625	 4208	4.109375
117545	63392	-2.093750	 4113	4.016602
117775	63189	-2.291992	 4010	3.916016
118005	62991	-2.485352	 3900	3.808594
118235	62799	-2.672852	 3784	3.695312
118465	62613	-2.854492	 3663	3.577148
118695	62433	-3.030273	 3538	3.455078
118925	62259	-3.200195	 3409	3.329102
119155	62092	-3.363281	 3276	3.199219
119385	61932	-3.519531	 3139	3.065430
119615	61779	-3.668945	 2997	2.926758
119845	61633	-3.811523	 2849	2.782227
120075	61494	-3.947266	 2695	2.631836
120305	61363	-4.075195	 2533	2.473633
120535	61240	-4.195312	 2362	2.306641
120765	61126	-4.306641	 2180	2.128906
120995	61022	-4.408203	 1986	1.939453
121225	60928	-4.500000	 1780	1.738281
121455	60844	-4.582031	 1563	1.526367
121685	60771	-4.653320	 1335	1.303711
121915	60710	-4.712891	 1098	1.072266
122145	60661	-4.760742	  856	0.835938
122375	60624	-4.796875	  612	0.597656
122605	60599	-4.821289	  369	0.360352
122835	60586	-4.833984	  129	0.125977
123065	60585	-4.834961	65431	-0.102539
123295	60596	-4.824219	65202	-0.326172
123525	60618	-4.802734	64978	-0.544922
123755	60651	-4.770508	64757	-0.760742
123985	60695	-4.727539	64538	-0.974609
124215	60750	-4.673828	64319	-1.188477
124445	60816	-4.609375	64098	-1.404297
124675	60893	-4.534180	63874	-1.623047
124905	60981	-4.448242	63647	-1.844727
125135	61080	-4.351562	63418	-2.068359
125365	61191	-4.243164	63190	-2.291016
125595	61313	-4.124023	62965	-2.510742
125825	61446	-3.994141	62746	-2.724609
126055	61590	-3.853516	62536	-2.929688
126285	61744	-3.703125	62338	-3.123047
126515	61908	-3.542969	62154	-3.302734
126745	62080	-3.375000	61984	-3.468750
126975	62260	-3.199219	61828	-3.621094
127205	62448	-3.015625	61686	-3.759766
127435	62643	-2.825195	61557	-3.885742
127665	62844	-2.628906	61441	-3.999023
127895	63050	-2.427734	61336	-4.101562
128125	63261	-2.221680	61242	-4.193359
128355	63477	-2.010742	61158	-4.275391
128585	63697	-1.795898	61083	-4.348633
128815	63920	-1.578125	61016	-4.414062
129045	64146	-1.357422	60957	-4.471680
129275	64375	-1.133789	60906	-4.521484
129505	64606	-0.908203	60863	-4.563477
129735	64839	-0.680664	60827	-4.598633
129965	65074	-0.451172	60799	-4.625977
130195	65310	-0.220703	60778	-4.646484
130425	   11	0.010742	60765	-4.659180
130655	  248	0.242188	60759	-4.665039
130885	  485	0.473633	60761	-4.663086
131115	  722	0.705078	60771	-4.653320
131345	  958	0.935547	60790	-4.634766
131575	 1193	1.165039	60817	-4.608398
131805	 1427	1.393555	60853	-4.573242
132035	 1659	1.620117	60898	-4.529297
132265	 1888	1.843750	60953	-4.475586
132495	 2114	2.064453	61018	-4.412109
132725	 2337	2.282227	61094	-4.337891
132955	 2556	2.496094	61182	-4.251953
133185	 2770	2.705078	61282	-4.154297
133415	 2979	2.909180	61395	-4.043945
133645	 3182	3.107422	61522	-3.919922
133875	 3378	3.298828	61663	-3.782227
134105	 3567	3.483398	61820	-3.628906
134335	 3747	3.659180	61992	-3.460938
134565	 3919	3.827148	62180	-3.277344
134795	 4081	3.985352	62382	-3.080078
135025	 4232	4.132812	62597	-2.870117
135255	 4372	4.269531	62822	-2.650391
135485	 4501	4.395508	63054	-2.423828
135715	 4618	4.509766	63290	-2.193359
135945	 4723	4.612305	63528	-1.960938
136175	 4817	4.704102	63765	-1.729492
136405	 4899	4.784180	64000	-1.500000
136635	 4969	4.852539	64233	-1.272461
136865	 5028	4.910156	64466	-1.044922
137095	 5075	4.956055	64700	-0.816406
137325	 5110	4.990234	64938	-0.583984
137555	 5133	5.012695	65181	-0.346680
137785	 5144	5.023438	65430	-0.103516
138015	 5142	5.021484	  150	0.146484
138245	 5128	5.007812	  412	0.402344
138475	 5100	4.980469	  677	0.661133
138705	 5059	4.940430	  942	0.919922
138935	 5005	4.887695	 1203	1.174805
139165	 4938	4.822266	 1457	1.422852
139395	 4859	4.745117	 1702	1.662109
139625	 4768	4.656250	 1936	1.890625
139855	 4665	4.555664	 2160	2.109375
140085	 4551	4.444336	 2375	2.319336
140315	 4427	4.323242	 2582	2.521484
140545	 4293	4.192383	 2783	2.717773
140775	 4149	4.051758	 2980	2.910156
141005	 3995	3.901367	 3175	3.100586
141235	 3832	3.742188	 3367	3.288086
141465	 3659	3.573242	 3557	3.473633
141695	 3477	3.395508	 3745	3.657227
141925	 3285	3.208008	 3928	3.835938
142155	 3084	3.011719	 4105	4.008789
142385	 2875	2.807617	 4274	4.173828
142615	 2658	2.595703	 4432	4.328125
142845	 2433	2.375977	 4577	4.469727
143075	 2201	2.149414	 4707	4.596680
143305	 1963	1.916992	 4821	4.708008
143535	 1720	1.679688	 4918	4.802734
143765	 1472	1.437500	 4997	4.879883
143995	 1221	1.192383	 5058	4.939453
144225	  967	0.944336	 5101	4.981445
144455	  712	0.695312	 5126	5.005859
144685	  456	0.445312	 5133	5.012695
144915	  200	0.195312	 5122	5.001953
145145	65481	-0.053711	 5094	4.974609
145375	65228	-0.300781	 5049	4.930664
145605	64977	-0.545898	 4987	4.870117
145835	64730	-0.787109	 4909	4.793945
146065	64487	-1.024414	 4815	4.702148
146295	64249	-1.256836	 4707	4.596680
146525	64017	-1.483398	 4586	4.478516
146755	63791	-1.704102	 4453	4.348633
146985	63572	-1.917969	 4311	4.209961
147215	63360	-2.125000	 4161	4.063477
147445	63156	-2.324219	 4005	3.911133
147675	62960	-2.515625	 3844	3.753906
147905	62772	-2.699219	 3680	3.593750
148135	62592	-2.875000	 3514	3.431641
148365	62421	-3.041992	 3347	3.268555
148595	62258	-3.201172	 3178	3.103516
148825	62103	-3.352539	 3007	2.936523
149055	61957	-3.495117	 2833	2.766602
149285	61820	-3.628906	 2654	2.591797
149515	61692	-3.753906	 2468	2.410156
149745	61573	-3.870117	 2275	2.221680
149975	61464	-3.976562	 2072	2.023438
150205	61365	-4.073242	 1859	1.815430
150435	61277	-4.159180	 1635	1.596680
150665	61201	-4.233398	 1402	1.369141
150895	61137	-4.295898	 1161	1.133789
151125	61085	-4.346680	  915	0.893555
151355	61045	-4.385742	  667	0.651367
